name,date,valor
André Almeida,2016-09-30,0.05
André Almeida,2017-09-08,0.1
André Almeida,2018-06-29,0.1
André Almeida,2019-12-30,0.8
André Almeida,2020-08-17,0.8
André Almeida,2021-12-27,4.0
André Almeida,2022-11-07,14.0
André Almeida,2023-12-22,20.0
André Almeida,2024-12-27,9.0
André Almeida,2025-12-12,9.0
Arnaut Danjuma,2015-12-07,0.025
Arnaut Danjuma,2017-10-26,0.4
Arnaut Danjuma,2018-12-27,10.0
Arnaut Danjuma,2019-12-10,12.0
Arnaut Danjuma,2020-10-15,10.0
Arnaut Danjuma,2021-12-30,40.0
Arnaut Danjuma,2022-11-07,35.0
Arnaut Danjuma,2023-12-19,17.0
Arnaut Danjuma,2024-05-27,13.0
Baptiste Santamaria,2014-11-20,0.5
Baptiste Santamaria,2015-06-06,0.6
Baptiste Santamaria,2016-11-01,1.5
Baptiste Santamaria,2017-06-01,2.5
Baptiste Santamaria,2018-12-17,6.0
Baptiste Santamaria,2019-12-19,9.0
Baptiste Santamaria,2020-11-26,10.0
Baptiste Santamaria,2021-12-16,14.0
Baptiste Santamaria,2022-11-02,16.0
Baptiste Santamaria,2023-12-18,12.0
Baptiste Santamaria,2024-12-10,7.0
Baptiste Santamaria,2025-12-12,4.5
Cristian Rivero,2018-05-30,0.25
Cristian Rivero,2019-09-10,0.25
Cristian Rivero,2020-10-08,0.2
Cristian Rivero,2021-12-30,0.3
Cristian Rivero,2022-11-07,0.2
Cristian Rivero,2023-12-22,0.2
Cristian Rivero,2024-06-07,0.2
César Tárrega,2022-12-29,0.1
César Tárrega,2023-12-20,0.15
César Tárrega,2024-12-27,6.0
César Tárrega,2025-12-12,15.0
Dani Raba,2016-10-27,0.2
Dani Raba,2017-06-05,0.2
Dani Raba,2018-12-21,2.0
Dani Raba,2019-12-20,2.0
Dani Raba,2020-10-08,1.0
Dani Raba,2021-12-30,0.9
Dani Raba,2022-12-29,1.2
Dani Raba,2023-12-20,2.0
Dani Raba,2024-12-27,1.8
Dani Raba,2025-12-12,2.4
Diego López,2022-12-29,0.05
Diego López,2023-12-22,10.0
Diego López,2024-12-27,10.0
Diego López,2025-12-12,15.0
Dimitri Foulquier,2011-12-24,0.2
Dimitri Foulquier,2012-07-25,0.75
Dimitri Foulquier,2013-09-17,1.0
Dimitri Foulquier,2014-07-20,2.0
Dimitri Foulquier,2015-07-01,2.5
Dimitri Foulquier,2016-07-15,2.5
Dimitri Foulquier,2017-06-05,2.0
Dimitri Foulquier,2018-12-21,2.5
Dimitri Foulquier,2019-12-10,2.5
Dimitri Foulquier,2020-10-08,3.0
Dimitri Foulquier,2021-12-30,2.5
Dimitri Foulquier,2022-11-07,3.0
Dimitri Foulquier,2023-12-22,2.5
Dimitri Foulquier,2024-12-27,2.0
Dimitri Foulquier,2025-12-12,1.2
Eray Cömert,2016-12-20,0.1
Eray Cömert,2017-07-12,0.5
Eray Cömert,2018-07-12,1.25
Eray Cömert,2019-06-04,2.0
Eray Cömert,2020-12-28,2.3
Eray Cömert,2021-06-23,2.0
Eray Cömert,2022-11-07,4.0
Eray Cömert,2023-12-18,4.0
Eray Cömert,2024-12-27,3.0
Eray Cömert,2025-12-12,2.0
Filip Ugrinic,2016-12-20,0.025
Filip Ugrinic,2017-07-12,0.5
Filip Ugrinic,2018-07-12,1.5
Filip Ugrinic,2019-12-18,0.6
Filip Ugrinic,2020-12-28,0.7
Filip Ugrinic,2021-06-23,1.5
Filip Ugrinic,2022-11-10,2.7
Filip Ugrinic,2023-10-19,4.0
Guido Rodríguez,2015-07-14,0.75
Guido Rodríguez,2016-12-16,2.5
Guido Rodríguez,2017-07-31,4.5
Guido Rodríguez,2018-08-23,7.5
Guido Rodríguez,2019-08-13,10.0
Guido Rodríguez,2020-11-23,12.0
Guido Rodríguez,2021-12-30,25.0
Guido Rodríguez,2022-11-07,28.0
Guido Rodríguez,2023-12-22,24.0
Guido Rodríguez,2024-12-16,15.0
Guido Rodríguez,2025-12-09,6.0
Hugo Duro,2019-09-10,2.0
Hugo Duro,2020-10-08,1.8
Hugo Duro,2021-12-30,8.0
Hugo Duro,2022-11-07,7.0
Hugo Duro,2023-12-22,8.0
Hugo Duro,2024-06-07,16.0
Javi Guerra,2022-12-29,0.05
Javi Guerra,2023-12-22,20.0
Javi Guerra,2024-06-07,20.0
Jesús Vázquez,2020-11-03,0.1
Jesús Vázquez,2021-10-13,0.5
Jesús Vázquez,2022-11-07,5.0
Jesús Vázquez,2023-12-22,2.0
Jesús Vázquez,2024-12-27,4.0
Jesús Vázquez,2025-12-12,3.0
José Copete,2018-06-30,0.05
José Copete,2019-09-10,0.05
José Copete,2020-10-08,0.2
José Copete,2021-12-27,0.6
José Copete,2022-11-07,2.0
José Copete,2023-12-22,2.5
José Copete,2024-12-27,2.8
José Copete,2025-12-12,4.0
José Gayà,2012-12-17,0.2
José Gayà,2013-08-19,1.0
José Gayà,2014-10-22,10.0
José Gayà,2015-07-01,20.0
José Gayà,2016-07-15,18.0
José Gayà,2017-06-05,18.0
José Gayà,2018-12-21,40.0
José Gayà,2019-12-20,50.0
José Gayà,2020-10-08,30.0
José Gayà,2021-12-30,40.0
José Gayà,2022-11-07,40.0
José Gayà,2023-12-22,30.0
José Gayà,2024-12-27,15.0
José Gayà,2025-12-12,5.0
Julen Agirrezabala,2020-10-08,0.05
Julen Agirrezabala,2021-12-30,5.0
Julen Agirrezabala,2022-11-07,5.0
Julen Agirrezabala,2023-12-22,5.0
Julen Agirrezabala,2024-06-07,5.0
Largie Ramazani,2019-12-10,0.5
Largie Ramazani,2020-10-08,0.4
Largie Ramazani,2021-12-27,3.0
Largie Ramazani,2022-11-07,9.0
Largie Ramazani,2023-12-22,6.0
Largie Ramazani,2024-06-07,5.0
Lucas Beltrán,2021-10-20,0.5
Lucas Beltrán,2022-10-26,3.0
Lucas Beltrán,2023-12-20,12.0
Lucas Beltrán,2024-06-05,16.0
Luis Rioja,2016-08-01,0.3
Luis Rioja,2017-06-30,0.15
Luis Rioja,2018-06-30,0.3
Luis Rioja,2019-12-20,2.0
Luis Rioja,2020-10-08,1.5
Luis Rioja,2021-12-30,3.0
Luis Rioja,2022-12-29,3.0
Luis Rioja,2023-12-22,3.0
Luis Rioja,2024-12-27,2.0
Luis Rioja,2025-12-12,2.0
Mouctar Diakhaby,2016-11-01,0.8
Mouctar Diakhaby,2017-10-12,6.0
Mouctar Diakhaby,2018-12-21,12.0
Mouctar Diakhaby,2019-12-20,30.0
Mouctar Diakhaby,2020-10-08,10.0
Mouctar Diakhaby,2021-12-30,7.5
Mouctar Diakhaby,2022-11-07,8.0
Mouctar Diakhaby,2023-12-22,6.0
Mouctar Diakhaby,2024-12-27,2.0
Mouctar Diakhaby,2025-12-12,2.8
Pepelu,2016-10-27,0.25
Pepelu,2017-06-05,0.3
Pepelu,2018-05-30,0.3
Pepelu,2019-12-30,1.0
Pepelu,2020-08-17,1.5
Pepelu,2021-12-30,2.5
Pepelu,2022-12-29,3.0
Pepelu,2023-12-22,12.0
Pepelu,2024-06-07,22.0
Renzo Saravia,2013-06-30,0.3
Renzo Saravia,2015-07-14,0.85
Renzo Saravia,2016-08-08,1.0
Renzo Saravia,2017-10-09,1.25
Renzo Saravia,2018-12-18,5.0
Renzo Saravia,2019-12-30,4.0
Renzo Saravia,2020-09-09,3.2
Renzo Saravia,2021-12-17,3.0
Renzo Saravia,2022-11-14,2.5
Renzo Saravia,2023-07-25,2.2
Stole Dimitrievski,2011-12-19,0.6
Stole Dimitrievski,2012-07-03,0.1
Stole Dimitrievski,2013-06-23,0.075
Stole Dimitrievski,2014-10-23,0.4
Stole Dimitrievski,2015-09-28,0.4
Stole Dimitrievski,2016-10-27,0.3
Stole Dimitrievski,2017-06-29,0.3
Stole Dimitrievski,2018-12-21,1.0
Stole Dimitrievski,2019-12-20,3.0
Stole Dimitrievski,2020-10-08,1.5
Stole Dimitrievski,2021-12-30,2.5
Stole Dimitrievski,2022-11-07,4.0
Stole Dimitrievski,2023-12-22,4.0
Stole Dimitrievski,2024-12-27,3.0
Stole Dimitrievski,2025-12-12,2.0
Thierry Correia,2019-12-20,3.0
Thierry Correia,2020-10-08,2.5
Thierry Correia,2021-12-30,8.0
Thierry Correia,2022-11-07,14.0
Thierry Correia,2023-12-22,8.0
Thierry Correia,2024-12-27,6.0
Thierry Correia,2025-12-12,3.0
Umar Sadiq,2014-09-18,0.05
Umar Sadiq,2015-11-30,0.9
Umar Sadiq,2016-07-15,2.5
Umar Sadiq,2017-12-29,1.8
Umar Sadiq,2018-06-12,1.8
Umar Sadiq,2019-10-28,2.5
Umar Sadiq,2020-10-08,5.0
Umar Sadiq,2021-12-27,18.0
Umar Sadiq,2022-11-07,18.0
Umar Sadiq,2023-12-22,16.0
Umar Sadiq,2024-12-27,5.0
Umar Sadiq,2025-12-12,4.0
Unai Núñez,2016-10-22,0.3
Unai Núñez,2017-06-30,0.3
Unai Núñez,2018-12-21,12.5
Unai Núñez,2019-12-20,15.0
Unai Núñez,2020-10-08,20.0
Unai Núñez,2021-12-30,12.0
Unai Núñez,2022-11-07,6.0
Unai Núñez,2023-12-22,6.0
Unai Núñez,2024-06-07,7.0
